CUI,HGNC ID
C1333584,HGNC:4040
C1333585,HGNC:4041
C1333586,HGNC:4042
C1333587,HGNC:4044
C1333588,HGNC:4045
C1333589,HGNC:4047
C1333652,HGNC:4057
C1333653,HGNC:14458
C1333655,HGNC:4095
C1333658,HGNC:4133
C1333659,HGNC:4167
C1333660,HGNC:24859
C1333661,HGNC:4166
C1333663,HGNC:4170
C1333664,HGNC:4191
C1333665,HGNC:4215
C1333666,HGNC:4220
C1333667,HGNC:4223
C1333668,HGNC:4224
C1333669,HGNC:4232
C1333670,HGNC:4238
C1333672,HGNC:4244
C1333673,HGNC:4261
C1333674,HGNC:4265
C1333675,HGNC:4271
C1333676,HGNC:4272
C1333677,HGNC:4273
C1333678,HGNC:14373
C1333679,HGNC:4332
C1333682,HGNC:4333
C1333683,HGNC:17493
C1333684,HGNC:4380
C1333685,HGNC:4390
C1333686,HGNC:4395
C1333687,HGNC:4396
C1333688,HGNC:4398
C1333689,HGNC:4400
C1333690,HGNC:4458
C1333691,HGNC:4471
C1333692,HGNC:4474
C1333693,HGNC:4487
C1333694,HGNC:4496
C1333695,HGNC:4510
C1333696,HGNC:4519
C1333697,HGNC:13309
C1333698,HGNC:4543
C1333699,HGNC:4544
C1333700,HGNC:4545
C1333701,HGNC:17031
C1333702,HGNC:4549
C1333703,HGNC:4550
C1333705,HGNC:4562
C1333706,HGNC:4565
C1333707,HGNC:4566
C1333708,HGNC:4567
C1333710,HGNC:4573
C1333711,HGNC:4593
C1333712,HGNC:4597
C1333713,HGNC:4598
C1333714,HGNC:4605
C1333715,HGNC:4641
C1333716,HGNC:4646
C1333717,HGNC:4647
C1333718,HGNC:4648
C1333719,HGNC:4650
C1333720,HGNC:4651
C1333721,HGNC:4652
C1333722,HGNC:4653
C1333723,HGNC:4655
C1333724,HGNC:4664
C1333725,HGNC:4665
C1333726,HGNC:4666
C1333727,HGNC:4667
C1333728,HGNC:4668
C1333887,HGNC:4713
C1333890,HGNC:4821
C1333891,HGNC:4852
C1333892,HGNC:4853
C1333893,HGNC:14063
C1333894,HGNC:14068
C1333895,HGNC:14064
C1333897,HGNC:4910
C1333898,HGNC:4923
C1333899,HGNC:4931
C1333900,HGNC:4940
C1333902,HGNC:16824
C1333903,HGNC:5010
C1333906,HGNC:5009
C1333908,HGNC:4983
C1333909,HGNC:5000
