HPO,CUI
HP:0031615,C0020641
HP:0002615,C0020649
HP:0001278,C0020651
HP:0002045,C0020672
HP:0000821,C0020676
HP:0031274,C0020683
HP:0003264,C0020725
HP:0008064,C0020757
HP:0002187,C0020796
HP:0002721,C0021051
HP:0030788,C0021092
HP:0100710,C0021125
HP:0031218,C0021141
HP:0001511,C0021296
HP:0000789,C0021359
HP:0008222,C0021361
HP:0003251,C0021364
HP:0002037,C0021390
HP:0000855,C0021655
HP:0012197,C0021670
HP:0004417,C0021775
HP:0008441,C0021818
HP:0011100,C0021828
HP:0100819,C0021833
HP:0005214,C0021843
HP:0031368,C0021845
HP:0005266,C0021846
HP:0004389,C0021847
HP:0002576,C0021933
HP:0001094,C0022073
HP:0001101,C0022081
HP:0000952,C0022346
HP:0006579,C0022353
HP:0030792,C0022364
HP:0003040,C0022408
HP:0001367,C0022408
HP:0001388,C0022410
HP:0010562,C0022548
HP:0000491,C0022568
HP:0031525,C0022572
HP:0001096,C0022573
HP:0001097,C0022575
HP:0000563,C0022578
HP:0007435,C0022584
HP:0000972,C0022596
HP:0025127,C0022602
HP:0031287,C0022603
HP:0001343,C0022610
HP:0001946,C0022638
HP:0025418,C0022656
HP:0000112,C0022658
HP:0001919,C0022660
HP:0009726,C0022665
HP:0008682,C0022672
HP:0000107,C0022679
HP:0000113,C0022680
HP:0010889,C0022682
HP:0004602,C0022738
HP:0002808,C0022821
HP:0000579,C0022906
HP:0004789,C0022951
HP:0000750,C0023012
HP:0002463,C0023015
HP:0012027,C0023052
HP:0100605,C0023055
HP:0025425,C0023066
HP:0001602,C0023075
HP:0011713,C0023211
HP:0005162,C0023212
HP:0100559,C0023221
HP:0012514,C0023222
HP:0005743,C0023234
HP:0100243,C0023269
HP:0000517,C0023308
HP:0001083,C0023309
HP:0012019,C0023309
HP:0001132,C0023316
HP:0001254,C0023380
HP:0001909,C0023418
HP:0005550,C0023434
HP:0005526,C0023448
HP:0006721,C0023449
HP:0006733,C0023462
HP:0005531,C0023464
HP:0004845,C0023465
HP:0004808,C0023467
HP:0012324,C0023470
HP:0005506,C0023473
HP:0004820,C0023479
HP:0012325,C0023480
HP:0004836,C0023487
HP:0001974,C0023518
HP:0002415,C0023520
HP:0006970,C0023529
HP:0001882,C0023530
HP:0002745,C0023532
HP:0031592,C0023569
HP:0010791,C0023600
HP:0100725,C0023653
